"year","fishery","total_effort","total_observed_effort","observer_coverage"
2013,"L","958375949","22471568","2.3447550017764478E-2"
2014,"L","1028743725","21499982","2.0899259434121943E-2"
2015,"L","1007691432","22376131","2.2205340136304742E-2"
2016,"L","946792200","29500001","3.1157841182046071E-2"
2017,"L","828873768","35579326","4.2924902890641367E-2"
2018,"L","946953185","42167365","4.4529513885102991E-2"
2019,"L","960456848","46151387","4.8051494552933838E-2"
2020,"L","828385016","32557863","3.9302814960622129E-2"
2021,"L","752395010","27994076","3.7206621027430789E-2"
2022,"L","755372429","31516168","4.1722687763071635E-2"
2023,"L","729121225","38204226","5.2397632506172069E-2"
